,doc,date,co
27,"A computer-implemented technique can include receiving a media feed from a speaker computing device representing speech of a speaker user captured by the speaker computing device. The technique can include receiving a plurality of translation requests, each translation request being received from a listener computing device associated with a listener user and corresponding to a request to obtain a translated version of the media feed into a preferred language of the listener user. The technique can include determining the preferred language for each listener user. The technique can include obtaining a machine translated media feed for each of the translation requests, the machine translated media feed corresponding to a translation of the media feed from the source language to the preferred language of the listener user associated with the translation request. The technique can also include outputting the machine translated media feeds to the listener computing devices.",20140529,Google
28,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for recognizing speech in an utterance. The methods, systems, and apparatus may include actions of obtaining a candidate transcription including a sequence of words and generating morphological variants of one or more of the words from the candidate transcription. Additional actions may include, for each morphological variant, generating one or more additional candidate transcriptions that each include the morphological variant. Further actions may include generating respective language model scores for the candidate transcription and the one or more additional candidate transcriptions. Additional actions may include selecting a particular transcription from among the candidate transcription and the one or more additional candidate transcriptions, based on the language model scores.",20140226,Google
29,"Technologies described herein relate to modifying visual content for presentment on a display to facilitate improving performance of an automatic speech recognition (ASR) system. The visual content is modified to move elements further away from one another, wherein the moved elements give rise to ambiguity from the perspective of the ASR system. The visual content is modified to take into consideration accuracy of gaze tracking. When a user views an element in the modified visual content, the ASR system is customized as a function of the element being viewed by the user.",20140606,Microsoft
30,An input signal that includes linguistic content in a first language may be received by a computing device. The linguistic content may include text or speech. The computing device may associate the linguistic content in the first language with one or more phonemes from a second language. The computing device may also determine a phonemic representation of the linguistic content in the first language based on use of the one or more phonemes from the second language. The phonemic representation may be indicative of a pronunciation of the linguistic content in the first language according to speech sounds of the second language.,20140521,Google
31,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for multilingual prosody generation. In some implementations, data indicating a set of linguistic features corresponding to a text is obtained. Data indicating the linguistic features and data indicating the language of the text are provided as input to a neural network that has been trained to provide output indicating prosody information for multiple languages. The neural network can be a neural network having been trained using speech in multiple languages. Output indicating prosody information for the linguistic features is received from the neural network. Audio data representing the text is generated using the output of the neural network.",20131230,Google
32,A language translation application on a user device includes a user interface that provides relevant textual and graphical feedback mechanisms associated with various states of voice input and translated speech.,20131108,Google
33,"Described is a technique for establishing an interaction language for a user interface without having to communicate with the user in a default language, which the user may or may not understand. The technique may prompt the user for multiples responses in order to determine a specific language. The responses may include speech input or selecting particular regions on a map. In some implementations, the language may be precise to a particular dialect or variant preferred or spoken by the user. Accordingly, this approach provides an accurate and efficient method of providing a high degree of specificity for language selection without overwhelming the user with an unmanageable list of languages.",20131231,Google
34,"A data processing apparatus receives data indicating a movement of a client device by a first user. The apparatus determines that the movement of the client device is a delimiter motion for switching between a first mode, in which the client device is configured to (i) provide a first interface for a first user speaking in a first language and (ii) perform speech recognition of the first language, and a second mode, in which the client device is configured to (i) provide a second interface for a second user speaking in a second language and (ii) perform speech recognition of the second language, the second interface being different from the first interface. Based on determining that the movement is a delimiter motion, the apparatus switches between the first mode and the second mode without the second user physically interacting with the client device.",20131112,Google
35,"A first speech processing device includes a first speech input unit and a first speech output unit. A second speech processing device includes a second speech input unit and a second speech output unit. In a server therebetween, a speech of a first language sent from the first speech input unit is recognized. The speech recognition result is translated into a second language. The translation result is back translated into the first language. A first speech synthesis signal of the back translation result is sent to the first speech output unit. A second speech synthesis signal of the translation result is sent to the second speech output unit. Duration of the second speech synthesis signal or the first speech synthesis signal is measured. The first speech synthesis signal and the second speech synthesis signal are outputted by synchronizing a start time and an end time thereof, based on the duration.",20140912,TOSHIBA
36,"Gestural annotation is described, for example where sensors such as touch screens and/or cameras monitor document annotation events made by a user of a document reading and/or writing application. In various examples the document annotation events comprise gestures recognized from the sensor data by a gesture recognition component. For example, the gestures may be in-air gestures or touch screen gestures. In examples, a compressed record of the sensor data is computed using at least the recognized gestures, document state and timestamps. In some examples the compressed record of the sensor data is used to facilitate consumption of the annotation events in relation to the document by a second user. In some examples the sensor data comprises touch sensor data representing electronic ink; and in some examples the sensor data comprises audio data capturing speech of a user.",20140228,Microsoft
37,"According to one embodiment, a speech translation apparatus includes a recognizer, a detector, a convertor and a translator. The recognizer recognizes a speech in a first language to generate a recognition result. The detector detects translation segments suitable for machine translation from the recognition result to generate translation-segmented character strings that are obtained by dividing the recognition result based on the detected translation segments. The convertor converts the translation-segmented character strings into converted character strings which are expressions suitable for the machine translation. The translator translates the converted character strings into a second language which is different from the first language to generate translated character strings.",20150908,TOSHIBA
38,"According to one embodiment, a speech translation apparatus includes a speech recognizer, a detector, a machine translator and a controller. The speech recognizer performs a speech recognition processing in chronological order on utterances of at least one first language made by a plurality of speakers to obtain a recognition text as a speech recognition result. The detector detects segments of meaning of the recognition text to obtain segments of text. The machine translator translates the segments of text into a second language different from the first language to obtain translated texts. The controller controls, if an utterance overlaps with another utterance in the chronological order, an order of displaying the translated texts corresponding to the overlapped utterances.",20150909,TOSHIBA
39,"The subject matter of this specification can be implemented in, among other things, a computer-implemented method for correcting words in transcribed text including receiving speech audio data from a microphone. The method further includes sending the speech audio data to a transcription system. The method further includes receiving a word lattice transcribed from the speech audio data by the transcription system. The method further includes presenting one or more transcribed words from the word lattice. The method further includes receiving a user selection of at least one of the presented transcribed words. The method further includes presenting one or more alternate words from the word lattice for the selected transcribed word. The method further includes receiving a user selection of at least one of the alternate words. The method further includes replacing the selected transcribed word in the presented transcribed words with the selected alternate word.",20160217,Google
40,"There is provided an apparatus comprising at least one processor and a memory comprising code that, when executed on the at least one processor, causes the apparatus to receive an input user setting relating to relative volumes of the speech data in a preferred language and speech data in a non-preferred language when the speech data is played-out; and cause play-out of received speech data so that the volume of the played-out speech data is set in dependence on the user input and whether the received speech data is in the preferred language or the non-preferred language.",20141212,Microsoft
41,Embodiments relate to facilitating a meeting. A method for facilitating a meeting of a group of participants is provided. The method generates a graph of words from speeches of the participants as the words are received from the participants. The method partitions the group of participants into a plurality of subgroups of participants. The method performs a graphical text analysis on the graph to identify a cognitive state for each participant and a cognitive state for each subgroup of participants. The method informs at least one of the participants about the identified cognitive state of a participant or a subgroup of participants.,20150618,IBM
42,"The subject matter of this specification can be implemented in, among other things, a computer-implemented method for correcting words in transcribed text including receiving speech audio data from a microphone. The method further includes sending the speech audio data to a transcription system. The method further includes receiving a word lattice transcribed from the speech audio data by the transcription system. The method further includes presenting one or more transcribed words from the word lattice. The method further includes receiving a user selection of at least one of the presented transcribed words. The method further includes presenting one or more alternate words from the word lattice for the selected transcribed word. The method further includes receiving a user selection of at least one of the alternate words. The method further includes replacing the selected transcribed word in the presented transcribed words with the selected alternate word.",20160105,Google
43,"A method and apparatus for speech recognition are disclosed. The speech recognition apparatus includes a processor configured to process a received speech signal, generate a word sequence based on a phoneme sequence generated from the speech signal, generate a syllable sequence corresponding to a word element among words comprised in the word sequence based on the phoneme sequence, and determine a text corresponding to a recognition result of the speech signal based on the word sequence and the syllable sequence.",20150626,SAMSUNG
44,"Natural language processing is provided. A unigram of a portion of text is determined, wherein the portion of text comprises a plurality of words. An initial confidence level of the unigram is determined, wherein the initial confidence level represents a probability that the unigram is of a semantic type identified by the initial confidence level. An expanded n-gram of the portion of text is determined, based, at least in part, on the unigram. Semantic analysis is performed on the expanded n-gram. At least one part of speech of the expanded n-gram is identified. Based, at least in part, on the initial confidence level, the semantic analysis, and the at least one part of speech, an adjusted confidence level of the expanded n-gram is determined.",20140710,IBM
45,"Implementations of the present disclosure include actions of providing first text for display on a computing device of a user, the first text being provided from a first speech recognition engine based on first speech received from the computing device, and being displayed as a search query, receiving a speech correction indication from the computing device, the speech correction indication indicating a portion of the first text that is to be corrected, receiving second speech from the computing device, receiving second text from a second speech recognition engine based on the second speech, the second speech recognition engine being different from the first speech recognition engine, replacing the portion of the first text with the second text to provide a combined text, and providing the combined text for display on the computing device as a revised search query.",20160428,Google
46,"A method, system and computer program product for assisting users to generate the desired meme in a document. A document is scanned to identify parts of speech, numerical text or numbers and images (collectively the “terms”) that provide positive/negative memes. A score for each of these terms is assigned. A score may then be assigned to each designated primary object (e.g., individual, company) discussed in the document using the scores assigned to the identified terms. Options may then be provided to modify the document to provide the type of meme (e.g., positive or negative meme) desired by the author to be associated with the particular designated primary object. Upon receiving a selection of one or more of these options, the document is modified accordingly to generate the desired meme in the document.",20160217,IBM
47,Characteristics of a speaker are estimated using speech processing and machine learning. The characteristics of the speaker are used to automatically customize a user interface of a client device for the speaker.,20160808,Google
48,"A computer system provides an automated tool that processes audio data and data about computer operating context to automatically capture information, such as information from conversations and meetings. The computer operating context can include, for example, environmental data sensed, or other contextual information maintained or tracked, by the computer. The audio data and computer operating context are processed by the computer to detect starting conditions for data extraction. After detecting a starting condition, the processor initiates speech processing on the audio information to generate corresponding text data. The processor processes the text data using text filters that define salient patterns in the text data. Such salient patterns can correspond to, for example, tasks to be performed, follow-up appointments and other events, messages to be sent, important points or notes, and the like. Such automatic processing improves user productivity in tracking valuable information from meetings and other conversations.",20150301,Microsoft
49,"One or more systems and/or techniques are provided for automatic closed captioning for media content. In an example, real-time content, occurring within a threshold timespan of a broadcast of media content (e.g., social network posts occurring during and an hour before a live broadcast of an interview), may be accessed. A list of named entities, occurring within the social network data, may be generated (e.g., Interviewer Jon, Interviewee Kathy, Husband Dave, Son Jack, etc.). A ranked list of named entities may be created based upon trending named entities within the list of named entities (e.g., a named entity may be ranked higher based upon a more frequent occurrence within the social network posts). A dynamic grammar (e.g., library, etc.) may be built based upon the ranked list of named entities. Speech recognition may be performed upon the broadcast of media content utilizing the dynamic grammar to create closed caption text.",20150602,Microsoft
50,"A display apparatus and a method for questions and answers includes a display unit includes an input unit configured to receive user's speech voice; a communication unit configured to perform data communication with an answer server; and a processor configured to create and display one or more question sentences using the speech voice in response to the speech voice being a word speech, create a question language corresponding to the question sentence selected from among the displayed one or more question sentences, transmit the created question language to the answer server via the communication unit, and, in response to one or more answer results related to the question language being received from the answer server, display the received one or more answer results. Accordingly, the display apparatus may provide an answer result appropriate to a user's question intention although a non-sentence speech is input.",20151022,SAMSUNG
51,"A speech-to-speech (S2S) translation system may utilize a damaging channel model to adapt machine translation (MT) training data so that a MT engine of the S2S translation system that is trained with the adapted training data can make better use of output received from an automated speech recognition (ASR) engine of the S2S translation system. The S2S translation system may include a MT training module that uses MT technology in order to simulate a particular ASR engine output by treating the ASR engine as a “noisy channel”. A process may include modeling ASR errors of a particular ASR engine based at least in part on output of the ASR engine to create an ASR simulation model, and performing machine translation to generate training data based at least in part on the ASR simulation model. The MT engine of the S2S translation system may then be trained using the generated training data.",20141124,Microsoft
52,Embodiments relate to facilitating a meeting. A method for facilitating a meeting of a group of participants is provided. The method generates a graph of words from speeches of the participants as the words are received from the participants. The method partitions the group of participants into a plurality of subgroups of participants. The method performs a graphical text analysis on the graph to identify a cognitive state for each participant and a cognitive state for each subgroup of participants. The method informs at least one of the participants about the identified cognitive state of a participant or a subgroup of participants.,20141103,IBM
53,"A method of operating an electronic device is provided, the method including: receiving, by the electronic device that includes a display and a voice receiving device, a sequence of speech elements through the voice receiving device; displaying, on the display by the electronic device, first information that is based on at least a part of a first speech element out of the speech elements; and displaying, on the display by the electronic device, second information, which is different than the first information and is based on at least a part of a second speech element that is received later than the first speech element among the speech elements.",20151014,SAMSUNG
54,"Computer-implemented techniques can include receiving a selected word in a source language, obtaining one or more parts of speech for the selected word, and for each of the one or more parts-of-speech, obtaining candidate translations of the selected word to a different target language, each candidate translation corresponding to a particular semantic meaning of the selected word. The techniques can include for each semantic meaning of the selected word: obtaining an image corresponding to the semantic meaning of the selected word, and compiling translation information including (i) the semantic meaning, (ii) a corresponding part-of-speech, (iii) the image, and (iv) at least one corresponding candidate translation. The techniques can also include outputting the translation information.",20150518,Google
55,"The technology described herein can improve the operation of a computerized text entry system (e.g., keyboard, speech to text) by making grammatically correct auto-complete suggestions as a user enters text. The technology described herein builds and uses a set of generalized rules that make the auto-complete feature sensitive to the context of what has already been typed, particularly at the level of a sentence or phrase. The technology described herein receives one or more words within a partially completed sentence and outputs one or more contrastive grammatical categories that the next word may be if the final sentence is to be grammatical.",20150616,Microsoft
56,"In a computer system for navigating to a location in recorded content, a computer receives a descriptive term or phrase associated with a searchable tag. The searchable tag corresponds to a point-in-time at which a non-speech sound occurred during the recording of recorded content of a communication between a plurality of participants. The recorded content includes speech from one or more of the plurality of participants, the descriptive term includes an automatically generated phonetic translation of the non-speech sound, and the non-speech sound was transmitted to the plurality of participants during the recording. The computer navigates to a location in the recorded content corresponding to the point-in-time at which the non-speech sound occurred.",20160727,IBM
57,"Systems and methods are utilized for recognizing speech that is partially in a foreign language. The systems and methods receive speech input from a user and detect if a rule or sentence entry grammar structure utilizing a foreign word has been uttered. To recognize the foreign word, a foreign word grammar is utilized. The foreign word grammar includes rules for recognizing the uttered foreign word. Two rules may be included in the foreign word grammar for each legitimate or slang term included in the foreign word grammar A first rule corresponds to the spoken form of the foreign word, and the second rule corresponds to the spelling form of the foreign word. The foreign word grammar may also utilize a prefix tree. Upon recognizing the foreign word, the recognized foreign word may be sent to an application to retrieve the pronunciation, translation, or definition of the foreign word.",20140717,Microsoft
58,"Predicting and learning users' intended actions on an electronic device based on free-form speech input. Users' actions can be monitored to develop a list of carrier phrases having one or more actions that correspond to the carrier phrases. A user can speak a command into a device to initiate an action. The spoken command can be parsed and compared to a list of carrier phrases. If the spoken command matches one of the known carrier phrases, the corresponding action(s) can be presented to the user for selection. If the spoken command does not match one of the known carrier phrases, search results (e.g., Internet search results) corresponding to the spoken command can be presented to the user. The actions of the user in response to the presented action(s) and/or the search results can be monitored to update the list of carrier phrases.",20160705,Google
59,"A grammar correcting method is provided, the method including receiving a sentence generated based on speech recognition, receiving information associated with a speech recognition result of the sentence and correcting grammar in the sentence based on the information associated with the speech recognition results of the sentence.",20150625,SAMSUNG
60,"According to one embodiment, an interpretation apparatus includes a translator, a calculator and a generator. The translator performs machine translation on a speech recognition result corresponding to an input speech audio from a first language into a second language to generate a machine translation result. The calculator calculates a word number based on a first time when the machine translation result is generated and a second time when output relating to a prior machine translation result generated prior to the machine translation result ends, the word number being 0 or larger. The generator omits at least the word number of words from the machine translation result to generate an abridged sentence output while being associated with the speech audio.",20160309,TOSHIBA
61,"Technologies are described herein for cross-language speech recognition and translation. An example method of speech recognition and translation includes receiving an input utterance in a first language, the input utterance having at least one name of a named entity included therein and being pronounced in a second language, utilizing a customized language model to process at least a portion of the input utterance, and identifying the at least one name of the named entity from the input utterance utilizing a phonetic representation of the at least one name of the named entity. The phonetic representation has a pronunciation of the at least one name in the second language.",20150515,Microsoft
62,"According to one embodiment, a presentation support apparatus includes a switcher, an acquirer, a recognizer and a controller. The switcher switches a first content to a second content in accordance with an instruction of a first user, the first content and the second content being presented to the first user. The acquirer acquires a speech related to the first content from the first user as a first audio signal. The recognizer performs speech recognition on the first audio signal to obtain a speech recognition result. The controller controls continuous output the first content to a second user, when the first content is switched to the second content, during a first period after presenting the speech recognition result to the second user.",20160309,TOSHIBA
63,"According to an embodiment, a device includes a table creator, an estimator, and a dictionary creator. The table creator is configured to create a table based on similarity between distributions of nodes of speech synthesis dictionaries of a specific speaker in respective first and second languages. The estimator is configured to estimate a matrix to transform the speech synthesis dictionary of the specific speaker in the first language to a speech synthesis dictionary of a target speaker in the first language, based on speech and a recorded text of the target speaker in the first language and the speech synthesis dictionary of the specific speaker in the first language. The dictionary creator is configured to create a speech synthesis dictionary of the target speaker in the second language, based on the table, the matrix, and the speech synthesis dictionary of the specific speaker in the second language.",20150709,TOSHIBA
